Route,Page Name,Purpose,Component File,Related Components,API or Service,Database Tables,Required Role,Current Status
/portal/team-hub,Team Hub,Kanban collaboration,pages/portal/team-hub/TeamHubBoards.tsx,FlowMembersPanel;useFlowPermissions,teamHubApi,teamhub_boards;teamhub_cards;teamhub_flow_members,CLIENT,Partial (invite-accept dead-ended)
/portal/ai,AI Command Center,AI chat,pages/portal/AICommandCenter.tsx,-,ai-chat-stream,ai_threads;ai_messages,CLIENT,Functional (no credit ceiling)
/portal/model-training,Model Training,Prompt-lab test runs,pages/portal/ModelTraining.tsx,-,gemini-proxy,user_prompts,CLIENT,Partial
/portal/integrations,Integration Hub,Third-party integrations,pages/portal/IntegrationHub.tsx,-,validate-integration;verify-domain,integrations,CLIENT,Partial
/portal/api-keys,API Keys,Public API keys,pages/portal/ApiKeysPage.tsx,-,supabase,api_keys,CLIENT,Functional (real keys for v1 API)
/portal/api-docs,API Docs,API documentation,pages/portal/ApiDocsPage.tsx,-,none,-,CLIENT,Functional (docs)
/portal/webhooks,Webhooks,Outbound webhooks,pages/portal/WebhooksPage.tsx,-,webhook-dispatcher,webhook_endpoints;webhook_deliveries,CLIENT,Functional
/portal/branding,Branding,Workspace branding/domains,pages/portal/BrandingPage.tsx,-,verify-domain,workspace_branding;workspace_domains,CLIENT,Partial
/portal/help,Help Center,Help,pages/portal/HelpCenterPage.tsx,-,none,-,CLIENT,Functional (static)
/portal/manual,User Manual,Docs,pages/portal/UserManualPage.tsx,-,none,-,CLIENT,Functional (static)
/portal/mobile,Mobile Home,Mobile shell,pages/portal/mobile/MobileHome.tsx,MobileLeads;MobileCampaigns;MobileGoals,supabase,leads;email_sequences,CLIENT,Partial (mobile subset)
/admin/console,Admin Console,Admin command center,pages/admin/console/AdminConsolePage.tsx,ConfigTab;HealthTab,admin_* RPCs,feature_flags;config_settings,ADMIN,Functional
/admin/users,User Management,Manage users,pages/admin/UserManagement.tsx,-,admin_* RPCs,profiles;subscriptions,ADMIN,Functional
/admin/ai,AI Operations,AI ops monitoring,pages/admin/AIOperations.tsx,-,supabase,ai_proxy_usage;ai_usage_logs,ADMIN,Partial
/admin/prompts,DNA Registry,Prompt registry,pages/admin/prompt-lab/DnaRegistryPage.tsx,DnaEditorPage,supabase,user_prompts;user_prompt_versions,ADMIN,Functional
/admin/leads,Admin Leads,All-tenant lead view,pages/admin/LeadsManagement.tsx,-,supabase (admin RLS),leads,ADMIN,Functional
/admin/blog,Blog Manager,Moderate/publish blog,pages/admin/BlogManager.tsx,-,supabase;storage,blog_posts;blog_categories,ADMIN,Functional
/admin/audit,Audit Logs,Security audit,pages/admin/AuditLogs.tsx,-,admin-audit-export,audit_logs;support_audit_logs,ADMIN,Functional
/admin/settings,Admin Settings,Platform settings,pages/admin/AdminSettings.tsx,-,supabase,config_settings,ADMIN,Functional
/admin/pricing,Pricing Management,Manage plans,pages/admin/PricingManagement.tsx,-,admin_update_plan;admin_clone_plan,plans;workspace_entitlements,ADMIN,Functional
/admin/ops,Ops Center,Operational monitoring,pages/admin/AdminOpsCenter.tsx,-,supabase,jobs;apollo_*;usage,ADMIN,Partial
/admin/command,Command Center,Admin command,pages/admin/CommandCenter/AdminCommandCenterPage.tsx,-,admin_* RPCs,feature_flags;workspace_entitlements,ADMIN,Functional
/admin/support,Support Console,Support impersonation,pages/support/SupportConsole.tsx,-,support-debug-integration;support-diagnostic-report,support_sessions;support_audit_logs,ADMIN,Partial (flag VITE_SUPPORT_MODE_ENABLED)
