Module,Feature,Route,User Role,Frontend Status,Backend Status,Database Status,Integration Status,Overall Status,Priority,Relevant Files,Problems,Recommendation
Billing,Subscription checkout,/portal/billing,CLIENT,Complete,Complete,Complete,Stripe,Functional,P0,billing-checkout;billing-webhook,"Client-supplied price/plan; webhook fails open; annual unreachable",Server-validate; fail-closed
Billing,Credit purchase,/portal/billing,CLIENT,Complete,Complete,Complete,Stripe,Functional,P0,billing-checkout;AiUpgradeModal.tsx,"Client-supplied credits/price - tampering",Server allow-list
Billing,Credits/usage,-,CLIENT,Complete,Complete,Complete,none,Functional,P2,credits.ts;enforce_ai_proxy_quota,"Some AI paths bypass ceiling",Route all AI through ceiling
Billing,Entitlements/flags,-,CLIENT/ADMIN,Partial,Partial,Complete,none,Partial,P2,workspace_entitlements;feature_flags,"Entitlements never read; plan config drift",Single source; wire enforcement
Billing,CRM invoicing,/portal/invoices,CLIENT,Complete,Complete,Complete,Stripe,Functional,P3,billing-create-invoice;billing-actions,"None major",Maintain
Automation,Goals/automation,/portal/goals;/portal/automation,CLIENT,Partial,Partial,Complete,Gemini,Partial,P2,goal-executor;goal-replanner,"Flag-gated; workspace-wide not business-scoped; preview model",Scope by business; GA model
API,Public API/keys,/portal/api-keys,CLIENT,Complete,Complete,Complete,none,Functional,P2,ApiKeysPage.tsx;v1-*,"ProfilePage 'API keys' tab is fake localStorage",Remove fake tab
Webhooks,Outbound webhooks,/portal/webhooks,CLIENT,Complete,Complete,Complete,none,Functional,P2,webhook-dispatcher;webhook_endpoints,"None major",Maintain
Webhooks,Inbound (Stripe/SG/MC/Twilio),-,system,n/a,Partial,Complete,"Stripe/SendGrid/Mailchimp/Twilio",Partial,P0,billing-webhook;webhooks-*;twilio-*,"Stripe fails open; SendGrid uses HMAC not ECDSA (never verifies); Mailchimp wrong header; Twilio unsigned - all fail open",Fail closed; correct algorithms
Security,Admin RPC authorization,-,all,n/a,Broken,Complete,none,Broken,P0,admin_* RPCs;pg_proc.proacl,"Callable by anon via caller-supplied p_admin_id - grant credits/change plans/flip flags",Authorize on auth.uid(); REVOKE from anon
Security,Subscriptions entitlements,-,CLIENT,n/a,Broken,Complete,none,Broken,P1,subscriptions RLS,"Public INSERT with_check=true; UPDATE no WITH CHECK - self-grant plan/credits",Restrict to service-role
Security,audit_logs isolation,-,all,n/a,Broken,Complete,none,Broken,P1,audit_logs RLS,"USING(auth.uid() IS NOT NULL) - any user reads all tenants' audit rows",Drop policy
Notifications,In-app notifications,-,CLIENT,UI-only,Missing,Missing,none,Missing,P2,DailyBriefing.tsx,"No notifications table in migrations; nothing reads/writes/delivers; bell has Math.random mock",Build real system or remove UI
Analytics,Reporting/dashboards,/portal/analytics;/portal/dashboard,CLIENT,Partial,Partial,Complete,none,Partial,P2,AnalyticsPage.tsx;email_analytics_summary,"No salesperson/deal reporting",Add rep/deal analytics
Admin,Admin console,/admin/*,ADMIN,Complete,Broken-authz,Complete,none,Partial,P0,pages/admin/*;admin_* RPCs,"admin_* RPCs authorize on caller-supplied p_admin_id + granted to anon = privilege escalation",Authorize on auth.uid(); REVOKE from anon
Admin,Audit logs,/admin/audit,ADMIN,Complete,Complete,Complete,none,Functional,P3,AuditLogs.tsx;admin-audit-export,"None major",Maintain
Security,RLS/tenant isolation,-,all,n/a,Partial,Partial,none,Partial,P0,pg_policies;core_schema.sql,"profiles USING(true) PII leak; team self-join; 3 tenancy models",Fix policies; reconcile tenancy
Privacy,Deletion/retention,/portal/settings,CLIENT,UI-only,Missing,Missing,none,Broken,P0,ProfilePage.tsx:378,"Fake deletion; no retention/erasure",Real deletion + retention
